ASPEN 1SW,DOY,Low Temp Average Last Week,High Temp Average Last Week,Precipitation Average Last Week,Snow Average Last Week,Snow
11/1/03,305,59,35,0,0,0
11/2/03,306,48,35,0.1,0,0
11/3/03,307,44,32,0.5,0,0
11/4/03,308,41,15,0.4,4.5,4.5
11/5/03,309,38,11,0,0,0
11/6/03,310,36,16,0,1,1
11/8/03,312,44.33333333,24,0.166666667,0.916666667,0
11/9/03,313,41.16666667,22.83333333,0.166666667,0.916666667,0
11/10/03,314,40.83333333,21,0.15,0.916666667,1.8
11/11/03,315,42.33333333,21,0.1,1.216666667,1.5
11/12/03,316,44.33333333,23.5,0.066666667,0.716666667,0
11/13/03,317,44.66666667,25.33333333,0.066666667,0.716666667,0
11/14/03,318,45.83333333,26.83333333,0.066666667,0.55,7.5
11/16/03,320,48.16666667,27,0.15,1.8,0
11/17/03,321,47.83333333,25.83333333,0.15,1.8,1
11/19/03,323,45.2,23,0.12,1.7,0
11/20/03,324,44.4,22,0.12,1.7,0
11/21/03,325,46,21,0.12,1.7,0
11/22/03,326,46.2,20.4,0.02,0.2,0
11/23/03,327,47.16666667,21.83333333,0.016666667,0.166666667,3.5
11/24/03,328,45.66666667,17.83333333,0.05,0.75,0
11/25/03,329,41.33333333,14.16666667,0.033333333,0.583333333,0
11/26/03,330,40.14285714,12.28571429,0.028571429,0.5,2
11/27/03,331,39.71428571,12.57142857,0.042857143,0.785714286,3
11/28/03,332,36.28571429,10.71428571,0.071428571,1.214285714,0
11/29/03,333,32.14285714,7.428571429,0.071428571,1.214285714,0
11/30/03,334,29.28571429,5.142857143,0.071428571,1.214285714,0
12/1/03,335,30.71428571,9.571428571,0.042857143,0.714285714,0
12/2/03,336,35.42857143,12.71428571,0.042857143,0.714285714,0
12/3/03,337,38.57142857,15.85714286,0.042857143,0.714285714,0
12/4/03,338,40,15.42857143,0.028571429,0.428571429,0
12/5/03,339,42.14285714,16.85714286,0,0,0
12/6/03,340,44.71428571,18.42857143,0,0,0
12/7/03,341,46,18.57142857,0,0,0
12/8/03,342,47.42857143,18.71428571,0,0,4.5
12/9/03,343,46.28571429,19.71428571,0.042857143,0.642857143,6.5
12/11/03,345,43.5,19,0.133333333,1.833333333,0
12/12/03,346,42,17.83333333,0.133333333,1.833333333,0
12/13/03,347,39.83333333,17.16666667,0.133333333,1.833333333,0
12/15/03,349,35,14.6,0.16,2.2,9
12/16/03,350,35.2,11.2,0.22,3.1,0.5
12/17/03,351,32.4,8,0.14,1.9,0
12/18/03,352,31.16666667,6.333333333,0.116666667,1.583333333,0
